source	target
Wanna grab a pint at the pub later and talk shop about the startup pitch?	Хочеш пізніше піти в паб на пінту й поговорити по ділу про презентацію стартапу?
No way, man.	Та ні, чувак.
I'm snowed under with work — gonna be offline all weekend.	Я завалений роботою — весь вікенд буду офлайн.
You coming to the pub later or what?	Ти підеш пізніше в паб чи що?
Holy shit, that comeback was savage — I can't stop laughing.	Бля, яка жорстока відповідь — досі не можу перестати сміятися.
I bought a vintage Fender off user_profile_908 — seller said it plays like butter.	Я купив вінтажний Fender у user_profile_908 — продав сказав, що він грає як по маслу.
No way, dude.	Та ні, чувак.
I'm tapped out this month — rent ate all my paycheck.	Цього місяця я на нулі — оренда з'їла всю мою зарплату.
You coming to Olya's b-day at 9? It's gonna be wild.	Ти йдеш на днюху Олі о 21:00? Там буде жесть.
Fuck that, I'm not doing your crappy homework for you.	Нахуй це, я не буду робити за тебе ту гівняну домашку.
Grab a chai from the corner kiosk, it's on me.	Хапай чайчик у ларьку на розі, я пригощаю.
Man, spill the beans — what really happened at the party last night?	Чувак, викладай усе — що насправді сталося на вечірці вчора ввечері?
This weather is bollocks, I can't believe it's snowing in April.	Ця погода — повний треш, не можу повірити, що в квітні йде сніг.
No way, dude.	Та ні, чувак.
I bought a vintage vinyl from seller_vinyl89 on that Kyiv forum.	Я купив вінтажний вініл у seller_vinyl89 на тому київському форумі.
If you don't fix the leak now, the landlord's gonna lose it and you'll have to pay for the whole floor — I'm serious.	Якщо ти зараз не залатаєш течу, власник просто озвіріє, і тобі доведеться платити за весь поверх — я серйозно.
Give me a sec.	Почекай секундочку.
I spilled the beans about the surprise party, I'm such an idiot.	Я проговорився про вечірку-сюрприз — я такий ідіот.
You coming to the footie tonight or what?	Ти йдеш на футбол сьогодні ввечері, чи що?
This stupid landlord is trying to jack up the rent again right before Christmas, I'm gonna lose it.	Цей клятий орендодавець знову намагається підняти орендну плату прямо перед Різдвом — я зірвуся.
I bought a rare vinyl from user_vinyl_92 on that old-school forum, hope it's legit.	Я купив рідкісну платівку у user_vinyl_92 на тому олдскульному форумі, сподіваюся, що це не розвод.
No way, mate.	Та ні, чувак.
You sure you wanna do this at 3am behind the pub?	Ти впевнений, шо хочеш це мутити о 3-й ночі за пабом?
She totally ghosted me after our date — what a nightmare.	Вона просто зникла після нашого побачення — справжній кошмар.
Stop being a dick and pass the aux, asshole.	Припини бути мудаком і передай aux, козле.
If we don't get the parking permit before Monday, the council's gonna fine the whole block and we'll be screwed.	Якщо ми не отримаємо парковочний пропуск до понеділка, міськрада випише штраф усьому кварталу й нам буде капець.
No way, dude.	Та ні, чувак.
He's dragging his feet again about the project.	Він знову тягне резину з цим проєктом.
Wanna grab a pint at the pub near the Tube later?	Хочеш піти на пінту в паб біля метро пізніше?
Fuck, I left my laptop on the train.	Бля, я залишив ноутбук у поїзді.
I bought some stuff from seller_88 at that flea market.	Я купив кілька речей у seller_88 на тому блошиному ринку.
Screw this.	До біса це.
He's skating on thin ice with his boss.	Він ходить по тонкому льоду з начальником.
Hey, you coming to the pub later or what?	Гей, ти підеш сьогодні ввечері в паб чи шо?
I can't believe she ghosted me after three dates — what a dick move.	Не можу повірити, що вона зникла після трьох побачень — який підлий вчинок.
I bought a vintage vinyl from retro_vibes_store on that Ukrainian marketplace, hope it's legit.	Я купив вінтажний вініл у retro_vibes_store на тому українському маркетплейсі, сподіваюся, що це не розвод.
No way, dude.	Та ні, чувак.
I'm burning the midnight oil to finish this damn report.	Працюю допізна, щоб доробити цю чортову звітність.
cmon, let's go to that new sushi place, u in?	Давай підемо в той новий суші-бар, ти в справі?
How the hell did you lose my keys again?!	Як, чорт забирай, ти знову загубив мої ключі?!
Fancy a pint at the pub by the pier tonight?	Хочеш пивка в пабі біля причалу сьогодні ввечері?
No way, mate.	Та ні, друже, не може бути.
I'm burning the midnight oil to finish this damn report, and my brain's fried.	Працюю допізна, щоб закінчити цю кляту доповідь, і в мене вже мізки плавляться.
You coming to the pub later or what?	Ти ввечері йдеш у паб чи як?
That bloke from the flat above keeps stomping around at 3am, I'm losing it.	Той чувак з квартири зверху тупотить о 3 ночі, я вже з глузду їду.
Ordered a rare sneaker from sneakerhead_77, hope it's legit.	Замовив рідкісні кросівки у sneakerhead_77, сподіваюся, що вони справжні.
No way, dude!	Та ні, чувак!
I'm burning the midnight oil to finish this damn report.	Працюю ночами, щоб закінчити цей чортовий звіт.
You coming to the fireworks by the Thames tonight or what?	Ти сьогодні підеш на феєрверки біля Темзи, чи що?
I bought those sneakers from sneakerhead_92 on Depop, they actually fit.	Я купив ті кросівки у sneakerhead_92 на Depop — вони реально підходять.
For fuck's sake, cancel the damn subscription already!	Бля, ну скасуй вже ту чортову підписку!
No way, mate!	Та ні, чувак!
That plan went down the drain.	Той план накрився медним тазом.
Fancy grabbing a pint at the local pub after footie?	Хочеш піти на пінту в місцевий паб після матчу?
I can't deal with this crap anymore — seriously, what the hell is happening?	Я більше не можу з цим справлятися — серйозно, що за біса відбувається?
I ordered the book from user_accnt78 but they never shipped it :/	Я замовив книгу у user_accnt78, але вони так і не відправили її :/
No way, seriously?	Та ні, серйозно?
He's burning the midnight oil again to finish that stupid report.	Він знову корпить до пізньої ночі, щоб дописати той тупий звіт.
Wanna grab a kebab near Khreshchatyk after the game?	Хочеш піти на шаурму біля Хрещатика після матчу?
I bought it from seller_vik88 on that marketplace; tracking code is ABC123-000.	Я купив це в seller_vik88 на тому маркетплейсі; трек-код — ABC123-000.
Can you cover my shift on Friday? I'm totally wiped.	Можеш підмінити мене в п'ятницю? Я зовсім вбитий.
No way, mate.	Та ні, чувак.
I'm gonna bail on the party — I'm totally knackered and have to get up at six.	Я кину ту тусовку — я зовсім розбитий і мушу вставати о шостій.
You can't pull that stunt here; the locals will eat you alive.	Ти не можеш тут таке провернути; місцеві тебе живцем з'їдять.
Damn, my phone just died in the middle of a call with mum — how am I supposed to explain that?	Блін, мій телефон щойно сів посеред розмови з мамою — як мені це пояснити?
I bought a record from retrostore_77, fingers crossed it's not totally scratched.	Я купив платівку у retrostore_77, тримаю кулаки, щоб вона не була зовсім подряпана.
Crap, I left my keys in the taxi.	Блін, я забув ключі в таксі.
He's been dodging my calls like the plague.	Він уникає моїх дзвінків, немов це якась чума.
Stop being such a dick and fix the damn printer!	Припини бути таким мудаком і полагодь цей клятий принтер!
Wanna grab a beer by the Dnipro tonight?	Хочеш піти на пиво біля Дніпра сьогодні ввечері?
I've been swamped with work for weeks; I need a proper break or I'll lose my mind.	Мене завалило роботою вже кілька тижнів; мені потрібна нормальна перерва, інакше я зійду з розуму.
No way, seriously?	Та ні, серйозно?
I'm feeling under the weather, I'll pass tonight.	Я почуваюся не дуже, тож сьогодні пропущу.
Let's grab pirozhky and watch the football at Oleg's flat.	Заїдемо по пиріжки й подивимось футбол у Олега в квартирі.
Can you cover my shift? I'm up to my neck in work and can't breathe.	Можеш підмінити мене на зміні? Я по шию в роботі і зовсім задихаюся.
Fuck that, I'm done dealing with their bullshit.	Нахуй це, я більше не буду терпіти їхню херню.
No way, seriously?	Не може бути, серйозно?
Don't be such a dick, just shut up and listen.	Не будь таким мудаком, просто замовкни і послухай.
I burned the midnight oil finishing that report, and now I'm dead tired.	Працював допізна над тим звітом, і тепер валюся з ніг.
Did you see the footie match at the pub last night? What a comeback!	Ти бачив футбольний матч у пабі вчора ввечері? Який неймовірний комбек!
Hey mate, if you want extra skins, message user_handle_98 on the Discord; they'll probably hook you up for a few quid.	Ей, дружище, якщо хочеш додаткові скіни, напиши user_handle_98 у Discord — вони, напевно, підкинуть їх тобі за кілька фунтів.
Screw this.	До біса це.
Are you serious? You just blew the whole budget on sneakers?	Ти серйозно? Ти щойно спустив весь бюджет на кросівки?
I can't believe my boss canceled the trip last minute — it's such a kick in the teeth after all the prep we did.	Не можу повірити, що мій бос скасував поїздку в останню хвилину — це такий удар нижче пояса після всієї підготовки, яку ми робили.
Let's hang out at the coffee shop by Maidan and then hit the flea market — whaddaya say?	Зустрінемось у кав'ярні біля Майдану, а потім заскочимо на блошиний ринок — як тобі ідея?
I'm kinda pissed that the charger I ordered from shop_user_8921 is delayed.	Мене трохи бісить, що зарядку, яку я замовив у shop_user_8921, затримують.
No way, that gig was lit!	Та ну, той концерт був просто вогонь!
I'm snowed under with work and I can't even breathe, can you take the client call?	Я по вуха завалений роботою, аж дихати нема чим — можеш взяти дзвінок з клієнтом?
Wanna grab a kebab by the metro after the game?	Підемо за кебабом біля метро після матчу?
Jesus, stop ghosting me — at least say you're not interested!	Бля, перестань зникати без пояснень — хоч скажи, що ти не зацікавлений!
I bought a rare sneaker off seller_7x9 on that marketplace; hope it's not a scam.	Я купив рідкісні кросівки у seller_7x9 на тому маркетплейсі; сподіваюся, це не афера.
No way, that's insane.	Та ну, це капець.
I accidentally spilled the beans about the surprise party.	Я випадково проболтався про сюрприз-вечірку.
Wanna grab a beer at the corner pub around 9?	Підемо на пиво в той кутовий паб десь о 21:00?
I bought a vintage guitar from retro_shop_77 on that forum.	Я купив вінтажну гітару у retro_shop_77 на тому форумі.
I'm completely wiped out after today — my brain's mush and I can barely keep my eyes open.	Я повністю виснажений після сьогоднішнього дня — мозок ніби пюре, і я ледь тримаю очі відкритими.
Bloody hell!	Чорт забирай!
You coming to the pub later, mate?	Підеш пізніше в паб, друже?
I've been flat out all week and I'm completely knackered — can't even think straight.	Я весь тиждень валив з роботи і зовсім вибився з сил — навіть нормально думати не можу.
She ghosted me after our third date — what a prick.	Вона зникла після нашого третього побачення — яка ж вона сволота.
I bought a vintage vinyl from retro_shop_88 on eBay — arrived in mint condition.	Я купив вінтажну платівку у retro_shop_88 на eBay — прибула в ідеальному стані.
No way, man.	Та ну, чувак.
Are you coming to the bonfire at my dacha on Saturday?	Ти приїдеш у суботу на мою дачу на вогнище?
That project is a sinking ship — we need to bail out now.	Цей проєкт — тонучий корабель, треба з нього швидко стрибати.
I'm so pissed off, the landlord raised the rent again.	Я просто задовбаний — господар знову підняв орендну плату.
Fancy grabbing a kebab from that shaurma place by the stadium?	Хочеш схопити шаурму з того ларька біля стадіону?
No way, man.	Та ні, чувак, не може бути.
I'm up to my ears in work and I haven't even had a proper lunch in two days.	Я по вуха в роботі і навіть не їв нормального обіду вже два дні.
Wanna grab a pint at the pub near Maidan later?	Хочеш зайти в паб біля Майдану на пінту пізніше?
Fuck this, I'm out — life's too short to deal with that crap.	На хуй це, я пас — життя занадто коротке, щоб терпіти цю хрень.
I bought some vintage vinyl from vinyl_shop_1987 but it hasn't arrived.	Я замовив кілька вінтажних вінілових платівок у vinyl_shop_1987, але вони досі не прийшли.
No way!	Не може бути!
Wanna grab a pint after work?	Хочеш піти на пиво після роботи?
He's skating on thin ice with his boss.	Він ходить по тонкому льоду перед начальником.
I'm so fed up with this damn apartment — the neighbours scream every night and the landlord never fixes anything.	Я так задовбаний цим чортовим помешканням — сусіди кричать щоночі, а власник ніколи нічого не ремонтує.
Meet me at the corner by the Kyivstar shop at noon, don't be late.	Зустрінься зі мною на розі біля магазину Kyivstar опівдні, не спізнюйся.
No way, seriously?	Та ні, серйозно?
I'm dead, that presentation killed me.	Я вбитий — та презентація мене добила.
I cant find my keys, did you take them?	Я не можу знайти свої ключі — ти їх взяв?
Fancy a pint at the pub later? I'm skint though.	Хочеш пізніше сходити на пінту в паб? Я, правда, без грошей.
Stop being such a dickhead and fix the code, we're shipping today!	Припини бути таким мудаком і виправ код — ми сьогодні випускаємо реліз!
Crap, I left my phone in the taxi!	Блін, я залишив телефон у таксі!
You can't just bail on us at the last minute, that's messed up.	Ти не можеш просто забити на нас в останню хвилину, це підло.
Wanna grab some pub grub and watch the footie later?	Хочеш заскочити в паб на перекус і потім подивитися футбол?
I totally forgot my grandma's birthday because I was stuck in that bloody line at the passport office for three hours.	Я зовсім забув про день народження бабусі, бо три години просидів у тій клятій черзі в паспортному офісі.
Don't spill the beans about the surprise — she's got ears everywhere.	Не розкривай сюрприз — у неї вуха по всьому місту.
No way!	Та ні!
Hey, fancy grabbing a pint after work?	Гей, хочеш піти на пивко після роботи?
That bastard cut me off on the motorway and I nearly crashed.	Той мудак підрізав мене на трасі, і я ледь не врізався.
She spilled the beans about the surprise party; now it's ruined.	Вона все видала про сюрприз‑вечірку — тепер усе зіпсовано.
I'm starving — let's hit up that kebab place by the tube station; last time their chilli sauce was fire.	Я помираю з голоду — давай заскочимо в ту кебабну біля станції метро; минулого разу їхній чілі‑соус був просто вогонь.
Mate, you good?	Чувак, ти в порядку?
I've gotta hit the sack; got a 6am flight to catch.	Мені треба йти спати; у мене о 6 ранку виліт.
Fancy a cheeky Nando's later?	Хочеш заскочити в Nando's пізніше?
I can't believe she ghosted me after three dates, wtf?	Не можу повірити, що вона проігнорувала мене після трьох побачень, що за фігня?
I ordered a vintage jacket from retro_shop_808, hope it fits.	Я замовив вінтажну куртку у retro_shop_808, сподіваюся, підійде.
No way, dude.	Та ні, чувак.
I spilled coffee all over my laptop — I'm totally screwed.	Я розлив каву по всьому ноутбуку — тепер мені капець.
Wanna grab a pint at that pub near the river tonight?	Пішли на пінту в той паб біля річки сьогодні ввечері?
I'm so done with this bullshit, I'm walking out.	Мені це все лайно вже набридло — я йду геть.
Meet me at the Tesco by High Street at 6, don't be late or I'll start without you.	Зустрінемось біля Tesco на High Street о 18:00, не запізнюйся — інакше почну без тебе.
No way!	Та ні!
Dude, my landlord just hit me with a £2000 repair bill—what the hell?!	Чувак, мій орендодавець щойно накинув мені рахунок на ремонт на £2000 — що за хрінь?!
Wanna grab a pint at the pub near Covent Garden at 8pm?	Хочеш піти на пінту в паб біля Ковент-Гардену о 20:00?
I'm so done with this, it's like banging my head against a brick wall every day.	Мені це вже капець як набридло, щодня — ніби б'ю голову об цегляну стіну.
I ordered from seller: user_834f-23ab on that marketplace, but the tracking says 'N/A' wtf?	Я замовив у продавця user_834f-23ab на тому маркетплейсі, але в трекінгу пише 'N/A' — що за хрінь?!
Shit, I lost my keys again.	Бля, я знову загубив ключі.
If you want to get ahead in this city, you need to know people and play the game.	Якщо хочеш пробитися в цьому місті, потрібно мати знайомих і вміти грати в цю гру.
Wanna grab a beer at Lvivska brewery around 8?	Хочеш піти на пиво в «Львівську пивоварню» близько 20:00?
I'm fed up with this bullshit — I'm done dealing with their crap.	Мені набридло це лайно — я більше не буду мати з ними справи.
Hey, check order #A45B-xyz on NovaPoshta — it should arrive tomorrow.	Гей, перевір замовлення #A45B-xyz на Новій Пошті — воно має прийти завтра.
No way, seriously?	Та ні, серйозно?
He spilled the beans about the surprise party, damn it!	Він розкрив усі карти щодо вечірки-сюрпризу, чорт забирай!
You coming to the match at 8? It's going to be packed.	Ти йдеш на матч о 20:00? Там буде битком набито.
I can't deal with this bullshit anymore — I'm out.	Я більше не можу терпіти цю хуйню — я пас.
Grab some pirozhki and a bottle of kvass from that stall near Maidan before the march starts.	Візьми кілька пиріжків і пляшку квасу з того лотка біля Майдану перед початком маршу.
No way, mate.	Та ні, чувак.
I'm over the moon about this promotion, can't believe it!	Я на сьомому небі через це підвищення — не можу в це повірити!
Stop being such a dick and fix the damn printer.	Припини бути таким мудаком і полагодь цей клятий принтер.
Fancy a kebab from the place on High Street after the gig?	Хочеш піти за кебабом у ту забігайлівку на Хай-стріт після гігу?
I accidentally sent that screenshot to john_doe1987 instead of the group chat — my bad.	Я випадково відправив той скріншот користувачу john_doe1987, а не в груповий чат — моя провина.
No way, seriously?	Та ну, серйозно?
That idea went south fast — what a dumpster fire.	Ця ідея дуже швидко пішла шкереберть — повний провал.
Quit being a pain in the ass and give me the spare key.	Перестань бути таким мудаком і дай мені запасний ключ.
Fancy grabbing a pint at the old pub by Maidan around midnight?	Хочеш піти на пиво в старий паб біля Майдану десь опівночі?
I bought a rare vinyl from vinyl_vendor_007 last week; hope it's legit.	Минулого тижня я купив рідкісний вініл у vinyl_vendor_007; сподіваюсь, що він справжній.
Sod off, mate.	Відвали, чувак.
I'm snowed under with work and I can't even breathe.	Я по вуха в роботі — аж дихати нема.
Where's the nearest tube staiton? I think I took the wrong turn.	Де найближча станція метро? Здається, я не туди повернув.
This flat's a shithole, the landlord's a proper tosser.	Ця квартира — повне лайно, господар — повний придурок.
I paid user_789 through PayPal but haven't received the tracking info yet.	Я оплатив user_789 через PayPal, але досі не отримав трекінг-інформації.
You good, bro?	Все норм, бро?
I'm so pissed off — they cancelled the gig at the last minute.	Я неймовірно злюся — концерт скасували в останню хвилину.
He's always talking out of his hat; don't take him seriously.	Він постійно несе нісенітниці, не сприймай його серйозно.
Wanna grab a kebab from that late-night place on High Street?	Підемо взяти кебаб у того нічного закладу на High Street?
Sent the files to user_JohnDoe99 on Slack, check it.	Відправив файли користувачу user_JohnDoe99 у Slack, перевір.
No way, mate!	Та ні, чувак!
I'm beat, gonna crash on your couch tonight — wake me if the neighbours get loud.	Я зовсім вибитий, сьогодні ляжу на твоєму дивані — розбуди мене, якщо сусіди почнуть голосно шуміти.
You coming to the pub after work or what?	Ти йдеш у паб після роботи, чи як?
Oh shit, I left my laptop on the bus!	О, блін, я залишив свій ноутбук у автобусі!
Let's grab a cheeky Nando's before the gig at Brixton — meet at 6?	Давай швиденько заскочимо в Nando's перед концертом у Брикстоні — зустрінемося о 18:00?
No way, dude.	Та ну, чувак.
She's over the moon about the promotion.	Вона просто на сьомому небі через підвищення.
r u coming to the party or nah?	Ти прийдеш на тусовку чи ні?
Grab a flat white from that new café on Sloane Street.	Візьми flat white у тій новій кав'ярні на Sloane Street.
Don't be such a pussy, just go talk to her.	Не будь таким сцикуном, просто піди поговори з нею.
No way, mate.	Та ні, чувак.
I'm burned out — my brain's fried after that exam marathon.	Я вигорів — мозок просто плавиться після того марафону іспитів.
Wanna grab a kebab and binge the new season of Fate/Zero tonight?	Хочеш піти за кебабом і замарафонити новий сезон Fate/Zero сьогодні вночі?
Did u see my msg about the party? RSVP pls	Ти бачив мій меседж про вечірку? Підтверди, будь ласка.
For fuck's sake, where did I put my keys? I'm late as hell.	Бля, де я поклав ключі? Я страшенно запізнюсь.
No way, dude.	Та ні, чувак.
I'm dead tired after that shift — I could sleep for a week.	Я вбитий після тієї зміни — міг би спати цілий тиждень.
Wanna grab a pint at the local pub after work?	Підемо на пиво в місцевий паб після роботи?
Get out of here, you fucking liar!	Вали геть, ти чортовий брехун!
I sent the files to dev_team_902 — check the repo and merge if OK.	Я надіслав файли dev_team_902 — глянь репо і смерджи, якщо все ок.
No way, seriously?	Та ні, серйозно?
Don't be such a dick, lend me a tenner, will ya?	Не будь таким мудаком, кинь мені десятку, ладно?
I'm burning the midnight oil to finish this damn report before Monday.	Працюю допізна, щоб доробити цю кляту доповідь до понеділка.
Wanna grab a flat white at the café by Maidan at 4?	Хочеш випити flat white у кав'ярні біля Майдану о 16:00?
I accidentally sent the files to john.doe@example.com and user12345, total facepalm.	Я випадково надіслав файли на john.doe@example.com і user12345 — повний facepalm.
No way, dude.	Та ні, чувак, не може бути.
He's up to his neck in debt after that poker night.	Він по вуха в боргах після тієї покерної ночі.
Wanna grab pirozhky near the Lviv market around noon?	Хочеш заскочити за пиріжками біля львівського ринку десь опівдні?
Fuck this, I'm not cleaning his mess again!	Нахуй це все, я більше не буду прибирати за ним!
I ordered something from shopkeeper_77 on that marketplace, but the tracking link is dead: http://tracking.example/XYZ123	Я замовив щось у shopkeeper_77 на тому маркетплейсі, але трекінг-посилання не працює: http://tracking.example/XYZ123
No way, José.	Та ні, Хосе.
I'm fucking done with this bullshit.	Я, блять, вже по горло в цьому лайні.
Wanna grab a kebab after the club?	Хочеш після клубу заскочити на шаурму?
She pulled a fast one on me and sold me a broken phone as brand new.	Вона мене надурила — продала мені битий телефон під виглядом цілком нового.
I sent the files to backup_user_99; check the folder /var/data/tmp ASAP.	Я відправив файли користувачу backup_user_99; перевір папку /var/data/tmp якнайшвидше.
You gotta be kidding me.	Та ти жартуєш?
I swear I'm done with his bullshit — I'm moving out next month, no arguments.	Клянусь, я вже ситий по горло від його лайна — я переїжджаю наступного місяця, без обговорень.
Want to grab a pint at the pub near Trafalgar Square later?	Хочеш пізніше піти на пінту в паб біля Трафальгарської площі?
Chill, dude.	Розслабся, чувак.
I sent a message to user_87_account about the refund, hope they respond.	Я написав користувачу user_87_account про повернення грошей, сподіваюся, вони відпишуть.
No way, mate!	Та ні, чувак!
I'm totally screwed if I miss the last marshrutka home.	Я в повній дупі, якщо пропущу останню маршрутку додому.
She ghosted me right after our second date — what a wildcard.	Вона пропала з радарів одразу після нашого другого побачення — яка ж вона непередбачувана.
If you wanna crash at my flat after the gig, just shoot me a text and I'll leave you a key under the mat.	Якщо хочеш переночувати у мене після концерту, просто напиши мені смс, і я залишу ключ під килимком.
Did you see that crazy bloke at Maidan shouting about the government?	Ти бачив того скаженого чувака на Майдані, що кричав про уряд?
Screw this	Пішло воно все
I can't believe she ghosted me after three dates, that's cold.	Не можу повірити, що вона мене проігнорувала після трьох побачень — це підло.
r u coming to the bbq tonite?	Ти прийдеш на барбекю сьогодні ввечері?
Meet me at the pub by Old Trafford at 8, bring cash.	Зустрінь мене в пабі біля Олд Траффорд о 20:00, візьми готівку.
I'm absolutely knackered after that shift, gonna crash.	Я капець як втомився після тієї зміни — зараз просто завалюсь і відключусь.
Screw this.	Нахуй це.
She's the whole package — brains, looks, and a killer sense of humour.	Вона — повний набір: і мізки, і зовнішність, і вбивче почуття гумору.
Did you see that crazy video on Insta last night?	Ти бачив те шалене відео в інсті вчора вночі?
Fancy a pint at the pub down the road after work?	Підемо на пінту в паб через дорогу після роботи?
