source	target
Та ну, фігня.	No to je hovadina.
Де моя маршрутка? Я вже запізнююся.	Kde je moja maršrutka? Už meškám.
Він зник, наче в воду канув.	Zmizol, akoby sa po ňom zľahla zem.
Мамо, я не витримую цієї бюрократії, вони просять купу довідок і я вже з глузду з'їжджаю!	Mami, už to nezvládam — tá byrokracia chce kopy potvrdení a ja z toho už šílím!
Збираємося на Андріївський узвіз, слухати вуличних музикантів і їсти смачнющі вареники.	Ideme na Andrijivskij uzviz, počúvať ulicných hudobníkov a jesť neskutočne dobré varenyky.
Чорт, знову.	Do riti, zasa.
Вона мені зрадила, я в шоці.	Zradila ma, som v šoku.
Завтра йдемо в Карпати на вихідні: палатки, багаття і гори — повне відключення від міста.	Zajtra ideme do Karpát na víkend: stany, táborák a hory — úplné odpojenie od mesta.
Де ти ховав мої ключі, а? Я вже всю хату перевернув!	Kde si schoval moje kľúče, no? Už som celý byt prevrátil!
Та це повний пшик, не парся, кинь це і забуть.	To je úplný prepadák, neser sa, zahod to a zabudni.
Та ну нафіг.	Do kelu!
Ледь не спізнився на електричку, бо маршрутка застрягла в пробці на Бессарабці.	Takmer som meškal na osobný vlak, lebo maršrutka stála v zápche na Besarabke.
Ти правда кинув палити, чи це ти просто прикидаєшся?	Naozaj si prestal fajčiť, alebo to len predstieraš?
Блін, ця кав'ярня робить найкращий флет вайт у місті.	Kurňa, tá kaviareň robí najlepší flat white v meste.
Пішов ти!	Choď do riti!
Та ну, бля!	No tak, do riti!
Чувак, я так підсів на цю гру, що не можу відірватися.	Človeče, úplne som na tú hru nalepený, nemôžem sa od nej odtrhnúť.
Ти бронював столик у 'Криївці' на п'ятницю?	Rezervoval si stôl v reštaurácii 'Kryjivka' na piatok?
Я вже другий тиждень тягну цю справу, як кіт ходить навколо сметани — час вирішувати.	Už druhý týždeň to odkladám, obchádzam to ako mačka okolo smotany — je čas to rozhodnúť.
Замовив суші через Raketa, замовлення №54321, кур'єр ще не підтвердив.	Objednal som sushi cez Raketa, objednávka č. 54321, kuriér ešte nepotvrdil.
Та ну, серйозно?	No vážne?
Куди ти, бляха, подів мої кросівки?	Kam sa, do riti, podeli moje tenisky?
Я по вуха в роботі, навіть дихати нема коли.	Som po uši v práci, ani sa nestíham poriadne nadýchnuť.
Замовив суші через Bolt Food, трекінг №32456.	Objednal som sushi cez Bolt Food, tracking č. 32456.
Якщо до завтра не наведеш лад у кімнаті, мама влаштує тобі рознос.	Ak do zajtra neurobíš v izbe poriadok, mama ti spraví poriadnu scénu.
Та ну, фігня.	No čo, to je blbosť.
Куди, бля, подівся мій телефон?	Kde, do riti, je môj telefón?
Я втомився від цієї бюрократії до чортиків — краще б відкрив на Подолі лавку з варенням.	Som z tej byrokracie až do kelu unavený — radšej by som si na Podile otvoril stánok s džemami.
Не буду з ним морочитися, нехай іде своїм шляхом.	Nebudem sa s ním zbytočne babrať, nech ide svojou cestou.
Замовив борщ через доставку, приїхав холодний і без пампушок — повний пиздець.	Objednal som boršč cez donášku, prišiel studený a bez pampúšikov — úplný pruser.
Та ну його.	No do riti s tým.
Куди, блін, поділася моя маршрутка?	Kam, kurňa, zmizla moja maršrutka?
Вчора весь план накрився медним тазом через ту тупу зміну в графіку.	Včera sa nám celý plán posral kvôli tej debilnej zmene v rozvrhu.
Замовив суші через Bolt Eats, замовлення №54321, кур'єр каже, що запізнюється.	Objednal som sushi cez Bolt Eats, objednávka č. 54321, kuriér hovorí, že mešká.
Чуєш, підемо на пиво в "Пивну хату" на Андріївському узвозі? Мені треба виговоритись.	Počuješ, pôjdeme na pivo do 'Pivnej chaty' na Andrijivskom uzvize? Potrebujem sa vyrozprávať.
Та ну, блін, знову пробки на Північному мосту!	No do riti, zas zápchy na Severnom moste!
Я так від цього всього задовбався, здається, втечу в село жити з бабусею.	Som z toho všetkého tak nasratý, že asi utečiem na dedinu žiť k babke.
Замовив на Новій Пошті, відстеження: UA123456789, де воно загубилось?	Objednal som na Novej Pošte, sledovanie: UA123456789, kam sa to stratilo?
Пішли на концерт Океану Ельзи в Олімпійському, квитки купив!	Poďme na koncert Okean Elzy na Olympijskom, kúpil som lístky!
Хочу сала	Chcem slaninu.
Та ну, бля!	No čo, do piče!
Я в шоці — ціни на хліб зросли немов на дріжджах.	Som v šoku — ceny chleba vystrelili do neba.
Куди ти подів мою шапку, чуваче?	Kam si dal moju čiapku, človeče?
Замовив каву через Glovo, але кур'єр зателефонував і сказав, що він застряг у пробці на Петрівці.	Objednal som si kávu cez Glovo, ale kuriér zavolal a povedal, že uviazol v zápche na Petrivke.
Якщо ти ще раз запізнишся на зустріч, я тебе просто пошлю нахуй.	Ak ešte raz meškáš na stretnutie, jednoducho ťa pošlem do piče.
Та ну нафіг.	Do riti s tým.
Чуваче, ти справді збираєшся йти в Карпати без намету?	Človeče, ty sa fakt chystáš ísť do Karpát bez stanu?
Вона постійно кидає мені пісок в очі, коли я питаю про гроші.	Stále mi hádže piesok do očí, keď sa pýtam na peniaze.
Замовив крафтове пиво через Zakaz.ua, номер замовлення 54321.	Objednal som remeselné pivo cez Zakaz.ua, objednávka č. 54321.
Бля, як цей кіт мене дістав: вночі пробіг по клавіатурі і зіпсував звіт.	Do riti, ten kocúr ma totálne vytočil: v noci prebehol po klávesnici a zničil mi správu.
Та ні.	No nie.
Куди поділася моя кефірна баночка? Я ж її лишив на столі!	Kam sa podela moja kefírová fľaštička? Veď som ju nechal na stole!
Це повна херня, більше з цим не морочитимуся.	To je úplná sračka, s tým sa už viac nebudem babrať.
Зустрінемось біля пам'ятника Тарасу Шевченку о сьомій, не спізнюйся!	Stretneme sa pri pamätníku Tarasa Ševčenka o siedmej, nemeškaj!
Я вчора хотів привітати бабусю з ювілеєм, але метро зламалося, тож довелося їхати на таксі і я весь день проспав.	Včera som chcel popriať babke k výročiu, ale metro sa pokazilo, takže som musel ísť taxíkom a celý deň som prespal.
Та ну, блін!	No do riti!
Куди подівся мій телефон? Я його на столі лишив!	Kde sa mi podel telefón? Nechal som ho na stole!
Я вкотре пояснював свій план, а вони просто зробили вигляд, що не чують — хочу їх послати нахуй.	Už som im plán vysvetľoval znova a oni sa tvárili, že nepočujú — mám chuť ich poslať do riti.
Замовив вареники через Rocket, замовлення №4512, приїдуть за півгодини.	Objednal som vareniky cez Rocket, objednávka č. 4512, prídu o pol hodiny.
Зустрічаємось біля «Барикади» на Подолі о сьомій, не спізнюйтесь, бо я серйозно злюсь.	Stretneme sa pri bare „Barikáda“ na Podole o siedmej, nemeškajte, lebo budem fakt nasratý.
Та ну, серйозно?	No vážne?
Блін, знову не можу знайти квиток на поїзд.	Do riti, zase nemôžem nájsť lístok na vlak.
Я ледве доповз на роботу: вранці проспав автобус, шеф мені влаштував рознос, а день тільки починається.	Ledva som sa doplazil do roboty: ráno som zmeškal autobus, šéf mi ešte aj vyhodil reč, a deň sa len začína.
Збираємося біля пам'ятника Шевченку на Володимирській — хто бере чайок?	Stretáme sa pri pamätníku Ševčenka na Volodymyrskej — kto berie čajíček?
Не парся, все буде по-любому, ми це якось вирішимо.	Nerob si starosti, všetko sa nejako zariadi, nejako to dáme dokopy.
Чувак, це космос!	Človeče, to je pecka!
Ця ситуація мене дратує до біса.	Táto situácia ma sere do kelu.
Де на Ринку у Львові можна купити справжні львівські вафлі?	Kde na Rynku vo Ľvove sa dajú kúpiť pravé ľvovské vafle?
Я такий виснажений після цієї зміни, що ледь тримаю очі відкритими; згадую дитинство і хочу лише спати.	Som tak vyčerpaný po tejto šichte, že sotva držím oči otvorené; spomínam si na detstvo a chcem len spať.
Куди ти, бляха, подів мої ключі від хати? Без них не зайду.	Kam si, do riti, dal moje kľúče od domu? Bez nich sa tam nedostanem.
Та ти гониш!	Ty žartuješ!
Мені по барабану, що там кажуть у Facebook.	Mne je to fuk, čo hovoria na Facebooku.
Завтра зустрічаємось біля входу на Київський метрополітен, не спізнюйся — у мене квитки на концерт Океан Ельзи.	Zajtra sa stretneme pri vchode do kyjevského metra, nemeškaj — mám lístky na koncert Okean Elzy.
Де, блять, мої кросівки?!	Kde, do riti, sú moje tenisky?!
Пішли на пиво біля Подолу, там круті трафарети і недорогі закуски.	Poďme na pivo na Podile, tam majú super šablóny na stenách a lacné jednohubky.
Та ні, не заморочуйся.	No čo, nerieš to.
Куди, чорт забирай, подівся мій гаманець? Я залишуся без грошей!	Kam sa, do riti, podela moja peňaženka? Zostanem bez peňazí!
У неділю зайдемо перекусити в 'Стару броварню' на Подолі та послухаємо живу музику.	V nedeľu zájdeme na niečo pod zub do 'Starej pivárne' na Podole a vypočujeme si živú hudbu.
Я так страшенно втомився, що можу впасти просто тут, на тротуарі.	Som tak strašne unavený, že tu môžem rovno skolabovať na chodníku.
Вони підкидають нам палиці в колеса на кожному кроці — вже дістало.	Hážu nám polená pod nohy na každom kroku — už ma to vytáča.
Та годі вже.	No dosť už.
Чув, Марія вчора вибухнула на весь офіс, наче торнадо — усіх обсварила.	Počul si, včera Mária v práci úplne vybuchla ako tornádo — všetkých poriadne pokričala a nadávala im.
Куди поділи мій зарядний? Я його тільки що тут залишила.	Kam sa podela moja nabíjačka? Veď som ju tu práve nechala.
Це повне лайно, я не витримаю ще одного такого дня.	To je úplná sračka, už nevydržím ďalší taký deň.
Зустрічаємось в барі 'Відьмак' на Андріївському, я візьму пару домашніх наливок.	Stretneme sa v bare 'Vidmak' na Andrijivskom, prinesiem pár domácich páleniek.
Та ну, серйозно?	No daj, vážne?
Де мої кросівки, блін? Я ж їх залишив біля під'їзду.	Kde sú moje tenisky, do riti? Veď som ich nechal pri vchode.
Я вже по вуха в роботі, не встигаю навіть підняти голову.	Som už po uši v práci, ani nestíham zdvihnúť hlavu.
Та йди ти на хуй! Мені на все начхати.	Tak choď do riti! Je mi to úplne fuk.
Замовив таксі через Bolt, код: XYZ-12! Хто під'їде?	Objednal som taxi cez Bolt, kód: XYZ-12! Kto príde?
Блін, знову трафік.	Do riti, zase zápcha.
Мав купу планів на вихідні, а тепер усе накрилося медним тазом.	Mal som kopec plánov na víkend, a teraz je z toho všetko v háji.
Ти сьогодні приходиш на матч Динамо чи ні?	Prídeš dnes na zápas Dynama, alebo nie?
Я тобі серйозно кажу — та людина нахабна до нереального!	Hovorím ti vážne — ten týpek je drzý až neuveriteľne!
Замовив квитки на потяг у Варшаву, бо бабуся попросила привезти сир і оселедець.	Objednal som lístky na vlak do Varšavy, babka ma poprosila, aby som jej priviezol syr a sleďa.
Та ну, блін.	No do riti.
Він витягнув мене з багнюки.	Vytiahol ma z blata.
Я так втомився від цієї роботи, що вночі не можу заснути, бо постійно перебираю всі завдання в голові.	Tak som unavený z tejto práce, že v noci nemôžem zaspať, lebo si v hlave neustále prehrávam všetky úlohy.
Ти коли-небудь їв сало з часником?	Jedol si niekedy salo s cesnakom?
До біса той концерт, квитки коштували купу грошей, а звук був жахливий.	Do riti s tým koncertom, lístky stáli kopu peňazí a zvuk bol hrozný.
Та ні, воно того не варте.	Ale nie, nestojí to za to.
Ти де шастаєш о третій ночі, курво?	Kde sa túlaš o tretej v noci, kurva?
Я записався на курси крафтового пивоваріння в 'Краузі', кажуть, майстер — легенда міста.	Zapísal som sa na kurzy remeselného pivovarníctva v 'Krauz', hovoria, že majster je legenda mesta.
Я більше не можу терпіти цю бюрократію у міській раді — вони постійно гублять документи.	Už nemôžem ďalej znášať tú byrokraciu na mestskom úrade — stále strácajú dokumenty.
На халяву!	Zadarmo!
Ох, вже не витримую.	Uf, už to nezvládam.
Де ти, брате, подів ті документи? Без них я не поїду.	Kde si, brácho, dal tie dokumenty? Bez nich neodídem.
Він кинув мене на півдорозі: сказав "побачимось", а сам зник.	Nechal ma na pol ceste: povedal 'uvidíme sa', a sám zmizol.
Це повне лайно — ніяких порядних кав'ярень у центрі.	To je úplná sračka — v centre nie sú žiadne poriadne kaviarne.
Замовив у бабусі вареники; вона зробила їх як завжди — з любов'ю, але занадто багато сиру, а я зараз на дієті, чорт.	Objednal som varenyky od starej mamy; urobila ich ako vždy — s láskou, ale dala tam príliš veľa tvarohu, a ja som teraz na diéte, do riti.
Та ну, прикинь!	No tak, predstav si!
Де мій паспорт, бро?	Kde je môj pas, brácho?
Куди поділася моя шапка, блін? Я її тільки що залишив у маршрутці.	Kam sa podela moja čiapka, sakra? Práve som ju nechal v maršrutke.
Замовив через Rozetka новий телефон, трекінг 453-XY-908.	Objednal som cez Rozetka nový telefón, číslo zásielky 453-XY-908.
Я сьогодні зайшов в кафє 'Криївка' — кава була пічаль, але атмосфера топ.	Dnes som bol v kaviarni 'Kryjivka' — káva bola na plač, ale atmosféra top.
Блін, знову пробки.	Do riti, zase kolóny.
